iteration,current_cost,best_cost,temperature
372,23.128000,14.536000,8.573750
373,23.554000,14.536000,8.573750
374,24.595000,14.536000,8.573750
375,22.987000,14.536000,8.573750
376,23.304000,14.536000,8.573750
377,21.663000,14.536000,8.573750
378,19.921000,14.536000,8.573750
379,19.916000,14.536000,8.573750
380,22.599000,14.536000,8.573750
381,22.139000,14.536000,8.573750
382,23.997000,14.536000,8.573750
383,24.868000,14.536000,8.573750
384,23.180000,14.536000,8.573750
385,23.952000,14.536000,8.573750
386,22.650000,14.536000,8.573750
387,24.335000,14.536000,8.573750
388,22.376000,14.536000,8.573750
389,21.018000,14.536000,8.573750
390,22.376000,14.536000,8.573750
391,24.295000,14.536000,8.573750
392,26.682000,14.536000,8.573750
393,24.420000,14.536000,8.573750
394,23.913000,14.536000,8.573750
395,23.304000,14.536000,8.573750
396,24.606000,14.536000,8.573750
397,24.335000,14.536000,8.573750
398,23.294000,14.536000,8.573750
399,24.335000,14.536000,8.573750
400,23.294000,14.536000,8.573750
401,22.599000,14.536000,8.145062
402,22.613000,14.536000,8.145062
403,22.613000,14.536000,8.145062
404,19.916000,14.536000,8.145062
405,19.916000,14.536000,8.145062
406,17.374000,14.536000,8.145062
407,17.374000,14.536000,8.145062
408,17.374000,14.536000,8.145062
409,21.262000,14.536000,8.145062
410,19.995000,14.536000,8.145062
411,20.767000,14.536000,8.145062
412,16.684000,14.536000,8.145062
413,20.767000,14.536000,8.145062
414,22.376000,14.536000,8.145062
415,24.335000,14.536000,8.145062
416,27.018000,14.536000,8.145062
417,25.412000,14.536000,8.145062
418,25.412000,14.536000,8.145062
419,24.723000,14.536000,8.145062
420,26.481000,14.536000,8.145062
421,24.956000,14.536000,8.145062
422,19.308000,14.536000,8.145062
423,24.956000,14.536000,8.145062
424,22.757000,14.536000,8.145062
425,23.074000,14.536000,8.145062
426,15.122000,14.536000,8.145062
427,15.122000,14.536000,8.145062
428,15.122000,14.536000,8.145062
429,15.122000,14.536000,8.145062
430,15.122000,14.536000,8.145062
431,17.374000,14.536000,8.145062
432,17.379000,14.536000,8.145062
433,20.312000,14.536000,8.145062
434,19.618000,14.536000,8.145062
435,22.757000,14.536000,8.145062
436,23.483000,14.536000,8.145062
437,22.757000,14.536000,8.145062
438,21.018000,14.536000,8.145062
439,25.701000,14.536000,8.145062
440,23.483000,14.536000,8.145062
441,24.479000,14.536000,8.145062
442,24.595000,14.536000,8.145062
443,26.017000,14.536000,8.145062
444,24.295000,14.536000,8.145062
445,23.074000,14.536000,8.145062
446,25.757000,14.536000,8.145062
447,22.757000,14.536000,8.145062
448,25.556000,14.536000,8.145062
449,22.599000,14.536000,8.145062
450,22.344000,14.536000,8.145062
451,19.607000,14.536000,8.145062
452,20.562000,14.536000,8.145062
453,26.286000,14.536000,8.145062
454,23.248000,14.536000,8.145062
455,23.180000,14.536000,8.145062
456,23.248000,14.536000,8.145062
457,22.185000,14.536000,8.145062
458,21.230000,14.536000,8.145062
459,23.997000,14.536000,8.145062
460,21.230000,14.536000,8.145062
461,19.995000,14.536000,8.145062
462,21.734000,14.536000,8.145062
463,22.757000,14.536000,8.145062
464,25.556000,14.536000,8.145062
465,24.533000,14.536000,8.145062
466,25.186000,14.536000,8.145062
467,26.481000,14.536000,8.145062
468,24.956000,14.536000,8.145062
469,20.767000,14.536000,8.145062
470,16.684000,14.536000,8.145062
471,22.207000,14.536000,8.145062
472,21.568000,14.536000,8.145062
473,21.568000,14.536000,8.145062
474,21.636000,14.536000,8.145062
475,20.573000,14.536000,8.145062
476,20.331000,14.536000,8.145062
477,19.308000,14.536000,8.145062
478,24.956000,14.536000,8.145062
479,22.757000,14.536000,8.145062
480,23.074000,14.536000,8.145062
481,25.757000,14.536000,8.145062
482,25.412000,14.536000,8.145062
483,27.018000,14.536000,8.145062
484,26.141000,14.536000,8.145062
485,20.331000,14.536000,8.145062
486,20.941000,14.536000,8.145062
487,21.527000,14.536000,8.145062
488,19.308000,14.536000,8.145062
489,20.331000,14.536000,8.145062
490,20.331000,14.536000,8.145062
491,20.532000,14.536000,8.145062
492,18.923000,14.536000,8.145062
493,18.923000,14.536000,8.145062
494,14.536000,14.536000,8.145062
495,17.379000,14.536000,8.145062
496,20.573000,14.536000,8.145062
497,22.757000,14.536000,8.145062
498,20.871000,14.536000,8.145062
499,25.412000,14.536000,8.145062
500,25.073000,14.536000,8.145062
501,24.885000,14.536000,7.737809
502,26.494000,14.536000,7.737809
503,25.020000,14.536000,7.737809
504,26.481000,14.536000,7.737809
505,23.342000,14.536000,7.737809
506,24.335000,14.536000,7.737809
507,23.342000,14.536000,7.737809
508,22.757000,14.536000,7.737809
509,20.573000,14.536000,7.737809
510,22.757000,14.536000,7.737809
511,19.618000,14.536000,7.737809
512,21.262000,14.536000,7.737809
513,21.018000,14.536000,7.737809
514,19.607000,14.536000,7.737809
515,20.273000,14.536000,7.737809
516,20.273000,14.536000,7.737809
517,20.871000,14.536000,7.737809
518,21.598000,14.536000,7.737809
519,17.270000,14.536000,7.737809
520,21.598000,14.536000,7.737809
521,19.921000,14.536000,7.737809
522,21.598000,14.536000,7.737809
523,17.270000,14.536000,7.737809
524,19.916000,14.536000,7.737809
525,19.916000,14.536000,7.737809
526,23.524000,14.536000,7.737809
527,25.412000,14.536000,7.737809
528,24.868000,14.536000,7.737809
529,26.141000,14.536000,7.737809
530,25.556000,14.536000,7.737809
531,26.141000,14.536000,7.737809
532,26.481000,14.536000,7.737809
533,21.636000,14.536000,7.737809
534,21.837000,14.536000,7.737809
535,21.262000,14.536000,7.737809
