directed_edge_id,from_id,to_id,distance,slope_type,base_cost,weather,cargo,weather_factor,cargo_factor,context_cost,source_edge_id
DE131,17,16,50,slight_up,0.097,sunny,small,1,1,0.097,E066
DE132,16,17,50,slight_down,0.068,sunny,small,1,1,0.068,E066
DE133,53,54,330,slight_up,0.638,sunny,small,1,1,0.638,E067
DE134,54,53,330,slight_down,0.452,sunny,small,1,1,0.452,E067
DE135,54,55,64,slight_up,0.124,sunny,small,1,1,0.124,E068
DE136,55,54,64,slight_down,0.088,sunny,small,1,1,0.088,E068
DE137,48,53,102,slight_up,0.197,sunny,small,1,1,0.197,E069
DE138,53,48,102,slight_down,0.14,sunny,small,1,1,0.14,E069
DE139,53,56,424,flat,0.683,sunny,small,1,1,0.683,E070
DE140,56,53,424,flat,0.683,sunny,small,1,1,0.683,E070
DE141,49,48,138,slight_up,0.267,sunny,small,1,1,0.267,E071
DE142,48,49,138,slight_down,0.189,sunny,small,1,1,0.189,E071
DE143,18,48,393,flat,0.633,sunny,small,1,1,0.633,E072
DE144,48,18,393,flat,0.633,sunny,small,1,1,0.633,E072
DE145,49,57,426,flat,0.686,sunny,small,1,1,0.686,E073
DE146,57,49,426,flat,0.686,sunny,small,1,1,0.686,E073
DE147,55,17,362,steep_up,0.875,sunny,small,1,1,0.875,E074
DE148,17,55,362,steep_down,0.437,sunny,small,1,1,0.437,E074
DE149,55,58,360,steep_up,0.87,sunny,small,1,1,0.87,E075
DE150,58,55,360,steep_down,0.435,sunny,small,1,1,0.435,E075
DE151,59,17,449,slight_up,0.868,sunny,small,1,1,0.868,E076
DE152,17,59,449,slight_down,0.615,sunny,small,1,1,0.615,E076
DE153,56,58,330,steep_up,0.797,sunny,small,1,1,0.797,E077
DE154,58,56,330,steep_down,0.399,sunny,small,1,1,0.399,E077
DE155,19,58,88,slight_up,0.17,sunny,small,1,1,0.17,E078
DE156,58,19,88,slight_down,0.12,sunny,small,1,1,0.12,E078
DE157,18,56,51,slight_up,0.099,sunny,small,1,1,0.099,E079
DE158,56,18,51,slight_down,0.07,sunny,small,1,1,0.07,E079
DE159,19,59,391,slight_up,0.756,sunny,small,1,1,0.756,E080
DE160,59,19,391,slight_down,0.535,sunny,small,1,1,0.535,E080
DE161,25,5,191,flat,0.308,sunny,small,1,1,0.308,E081
DE162,5,25,191,flat,0.308,sunny,small,1,1,0.308,E081
